Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover
0,0,0-0,f25428,-0.5,0-1,0-2,0-1,399.888458,358.677673
0,1,0-1,f2332,0.5,0-3,0-4,0-3,124.597595,117.190079
0,2,0-2,f37613,0.5,0-5,0-6,0-5,90.0711212,241.487595
0,3,0-3,Leaf,,,,,0.481959373,76.6942139
0,4,0-4,Leaf,,,,,1.14031076,40.4958687
0,5,0-5,Leaf,,,,,-0.0316892304,207.27272
0,6,0-6,Leaf,,,,,0.487139165,34.2148743
1,0,1-0,f25403,0.5,1-1,1-2,1-1,103.68824,358.677673
1,1,1-1,f3334,0.5,1-3,1-4,1-3,29.0825138,297.190063
1,2,1-2,f25178,-0.5,1-5,1-6,1-5,58.8403549,61.4876022
1,3,1-3,Leaf,,,,,-0.0872835442,286.776855
1,4,1-4,Leaf,,,,,0.40144825,10.4132233
1,5,1-5,Leaf,,,,,0.749608338,21.1570244
1,6,1-6,Leaf,,,,,0.136592686,40.3305779
2,0,2-0,f3388,0.5,2-1,2-2,2-1,294.258881,358.677673
2,1,2-1,f4687,0.5,2-3,2-4,2-3,19.5208969,299.834717
2,2,2-2,f37073,0.5,2-5,2-6,2-5,141.819168,58.8429756
2,3,2-3,Leaf,,,,,-0.12744391,282.975189
2,4,2-4,Leaf,,,,,0.196992129,16.8595047
2,5,2-5,Leaf,,,,,0.249597907,37.0247917
2,6,2-6,Leaf,,,,,1.20956171,21.818182
3,0,3-0,f1291,0.5,3-1,3-2,3-1,213.090073,358.677673
3,1,3-1,f6836,0.5,3-3,3-4,3-3,169.404709,321.652893
3,2,3-2,f34045,-0.5,3-5,3-6,3-5,110.482819,37.0247917
3,3,3-3,Leaf,,,,,-0.127200797,304.958679
3,4,3-4,Leaf,,,,,0.827697337,16.6942139
3,5,3-5,Leaf,,,,,1.27052522,15.2066116
3,6,3-6,Leaf,,,,,0.223505959,21.818182
4,0,4-0,f31368,0.5,4-1,4-2,4-1,73.164917,358.677673
4,1,4-1,f37133,0.5,4-3,4-4,4-3,20.8321571,298.181824
4,2,4-2,f29787,-0.5,4-5,4-6,4-5,40.3242569,60.4958649
4,3,4-3,Leaf,,,,,-0.0942040682,247.107437
4,4,4-4,Leaf,,,,,0.114696071,51.074379
4,5,4-5,Leaf,,,,,-0.0347237997,20.9917355
4,6,4-6,Leaf,,,,,0.476045698,39.5041313
5,0,5-0,f5147,0.5,5-1,5-2,5-1,300.559875,358.677673
5,1,5-1,f5879,0.5,5-3,5-4,5-3,12.502636,308.925629
5,2,5-2,f33706,-0.5,5-5,5-6,5-5,127.139938,49.7520638
5,3,5-3,Leaf,,,,,-0.139365971,298.01651
5,4,5-4,Leaf,,,,,0.176335871,10.909091
5,5,5-5,Leaf,,,,,-0.0950027332,14.2148762
5,6,5-6,Leaf,,,,,0.956186354,35.5371895
6,0,6-0,f4071,0.5,6-1,6-2,6-1,53.8141327,358.677673
6,1,6-1,f26442,0.5,6-3,6-4,6-3,10.3960075,326.280975
6,2,6-2,f31578,-0.5,6-5,6-6,6-5,75.6064606,32.3966942
6,3,6-3,Leaf,,,,,-0.0331862904,173.223145
6,4,6-4,Leaf,,,,,-0.140561149,153.057846
6,5,6-5,Leaf,,,,,1.11345565,7.10743809
6,6,6-6,Leaf,,,,,0.0580949336,25.2892551
7,0,7-0,f40622,-0.5,7-1,7-2,7-1,88.1359863,358.677673
7,1,7-1,f30134,-0.5,7-3,7-4,7-3,81.2593842,77.6859512
7,2,7-2,f42385,0.5,7-5,7-6,7-5,2.54278564,280.99173
7,3,7-3,Leaf,,,,,0.776833296,16.6942139
7,4,7-4,Leaf,,,,,0.0457538925,60.9917336
7,5,7-5,Leaf,,,,,-0.16055961,238.842972
7,6,7-6,Leaf,,,,,-0.0777437389,42.1487579
8,0,8-0,f40331,0.5,8-1,8-2,8-1,66.9833527,358.677673
8,1,8-1,f3697,0.5,8-3,8-4,8-3,46.9527588,328.099182
8,2,8-2,f31988,0.5,8-5,8-6,8-5,92.6164398,30.5785122
8,3,8-3,Leaf,,,,,-0.120833665,321.983459
8,4,8-4,Leaf,,,,,0.659233451,6.11570215
8,5,8-5,Leaf,,,,,0.95846349,12.2314043
8,6,8-6,Leaf,,,,,-0.07894063,18.3471069
9,0,9-0,f839,0.5,9-1,9-2,9-1,27.2312183,358.677673
9,1,9-1,f26603,0.5,9-3,9-4,9-3,82.1958694,174.876022
9,2,9-2,f12914,0.5,9-5,9-6,9-5,3.99950409,183.801651
9,3,9-3,Leaf,,,,,-0.10430602,125.289253
9,4,9-4,Leaf,,,,,0.348276407,49.5867767
9,5,9-5,Leaf,,,,,-0.144442946,182.148758
9,6,9-6,Leaf,,,,,0.236448586,1.65289259
10,0,10-0,f40943,-0.5,10-1,10-2,10-1,57.2586784,358.677673
10,1,10-1,f23331,0.5,10-3,10-4,10-3,41.5084763,68.2644577
10,2,10-2,f40037,-0.5,10-5,10-6,10-5,12.7216492,290.413208
10,3,10-3,Leaf,,,,,-0.028027188,33.0578499
10,4,10-4,Leaf,,,,,0.436133325,35.2066116
10,5,10-5,Leaf,,,,,0.00859954674,84.6280975
10,6,10-6,Leaf,,,,,-0.129383326,205.785126
11,0,11-0,f36968,-0.5,11-1,11-2,11-1,164.900742,452.64151
11,1,11-1,f1513,0.5,11-3,11-4,11-3,52.1184998,175.210587
11,2,11-2,f27735,0.5,11-5,11-6,11-5,46.4383392,277.430939
11,3,11-3,Leaf,,,,,0.268193871,113.559227
11,4,11-4,Leaf,,,,,0.614026606,61.6513557
11,5,11-5,Leaf,,,,,-0.0700879544,178.157715
11,6,11-6,Leaf,,,,,0.184894636,99.2732239
12,0,12-0,f25407,0.5,12-1,12-2,12-1,56.3401337,352.499542
12,1,12-1,f3334,0.5,12-3,12-4,12-3,17.5661545,271.89267
12,2,12-2,f28771,-0.5,12-5,12-6,12-5,25.9304962,80.6068726
12,3,12-3,Leaf,,,,,-0.0769544914,257.792023
12,4,12-4,Leaf,,,,,0.25627926,14.1006632
12,5,12-5,Leaf,,,,,0.410957724,36.0493355
12,6,12-6,Leaf,,,,,0.0693865195,44.5575333
13,0,13-0,f3388,0.5,13-1,13-2,13-1,131.570007,359.603394
13,1,13-1,f11763,0.5,13-3,13-4,13-3,18.5858593,266.288788
13,2,13-2,f1103,0.5,13-5,13-6,13-5,41.0913239,93.314621
13,3,13-3,Leaf,,,,,-0.120577574,249.343369
13,4,13-4,Leaf,,,,,0.196417242,16.9454021
13,5,13-5,Leaf,,,,,0.409562886,75.04142
13,6,13-6,Leaf,,,,,-0.0872251913,18.2731972
14,0,14-0,f1379,0.5,14-1,14-2,14-1,116.073349,357.090454
14,1,14-1,f1291,0.5,14-3,14-4,14-3,13.7201271,255.698105
14,2,14-2,f4795,0.5,14-5,14-6,14-5,36.4780273,101.392342
14,3,14-3,Leaf,,,,,-0.129696801,231.268158
14,4,14-4,Leaf,,,,,0.103481688,24.4299507
14,5,14-5,Leaf,,,,,0.127592087,63.2987404
14,6,14-6,Leaf,,,,,0.499105185,38.0936012
15,0,15-0,f31368,0.5,15-1,15-2,15-1,43.0787354,350.459198
15,1,15-1,f30894,-0.5,15-3,15-4,15-3,18.5011692,275.586731
15,2,15-2,f39956,-0.5,15-5,15-6,15-5,28.3775978,74.8724899
15,3,15-3,Leaf,,,,,0.150149077,35.8028564
15,4,15-4,Leaf,,,,,-0.0783941001,239.783875
15,5,15-5,Leaf,,,,,0.412064165,32.7301788
15,6,15-6,Leaf,,,,,0.0417272523,42.1423111
16,0,16-0,f5147,0.5,16-1,16-2,16-1,132.643173,352.078918
16,1,16-1,f6727,0.5,16-3,16-4,16-3,11.1049423,268.773315
16,2,16-2,f27706,0.5,16-5,16-6,16-5,42.22155,83.305603
16,3,16-3,Leaf,,,,,-0.129312634,263.085571
16,4,16-4,Leaf,,,,,0.264932185,5.68774605
16,5,16-5,Leaf,,,,,0.407812268,68.8894958
16,6,16-6,Leaf,,,,,-0.147556946,14.4161072
17,0,17-0,f4071,0.5,17-1,17-2,17-1,31.8848133,334.885162
17,1,17-1,f31564,-0.5,17-3,17-4,17-3,11.0769691,294.049194
17,2,17-2,f439,0.5,17-5,17-6,17-5,24.0879478,40.8359795
17,3,17-3,Leaf,,,,,0.0205151103,81.4227142
17,4,17-4,Leaf,,,,,-0.109301217,212.62648
17,5,17-5,Leaf,,,,,0.347661614,29.3149281
17,6,17-6,Leaf,,,,,-0.151693657,11.5210485
18,0,18-0,f40637,-0.5,18-1,18-2,18-1,65.0578461,329.217712
18,1,18-1,f45170,-0.5,18-3,18-4,18-3,53.9309692,88.0837097
18,2,18-2,f42385,0.5,18-5,18-6,18-5,2.67543793,241.134003
18,3,18-3,Leaf,,,,,0.363604993,49.1797638
18,4,18-4,Leaf,,,,,-0.104874574,38.9039459
18,5,18-5,Leaf,,,,,-0.15577963,203.416687
18,6,18-6,Leaf,,,,,-0.0662534833,37.7173157
